ID,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty,Outcome,Rank,Runtime,RawFilename
TIC\_261136679\_TESS\_sector\_100,NaN,NaN,NaN,NaN,NaN,0,0,Confirmed,1,0.000318,TIC_261136679_TESS_sector_100.fits
TIC\_261136679\_TESS\_sector\_89,NaN,NaN,NaN,NaN,NaN,0,0,Confirmed,1,5.7e-05,TIC_261136679_TESS_sector_89.fits
TIC\_261136679\_TESS\_sector\_93,NaN,NaN,NaN,NaN,NaN,0,0,Confirmed,1,7.8e-05,TIC_261136679_TESS_sector_93.fits
TIC\_261136679\_TESS\_sector\_95,NaN,NaN,NaN,NaN,NaN,0,0,Confirmed,1,8e-05,TIC_261136679_TESS_sector_95.fits
TIC\_261136679\_TESS\_sector\_9,42.7299854842513,46.769201948364,9.83440711351217,165.301788804256,42.1439233212967,0.0140033490596341,1.39062079836891,Confirmed,1,0.000577,TIC_261136679_TESS_sector_9.fits
TIC\_261136679\_TESS\_sector\_45,22.3694083135873,22.4774111279052,10.744740923041,117.901143588176,21.9589604526616,0.0188673701255922,1.86915888760115,Confirmed,1,4.6e-05,TIC_261136679_TESS_sector_45.fits
TIC\_261136679\_TESS\_sector\_12,31.9406331192425,33.9682118999119,8.73182329675393,120.22705805327,31.2738560360538,0.0215494983837309,2.1320590669087,Confirmed,1,0.000151,TIC_261136679_TESS_sector_12.fits
TIC\_261136679\_TESS\_sector\_44,26.7074513354056,26.6866708754702,8.70891284174438,145.544499418358,26.0714857477104,0.0246930938574842,2.4393147128221,Confirmed,1,4.9e-05,TIC_261136679_TESS_sector_44.fits
TIC\_261136679\_TESS\_sector\_29,43.0499222247268,47.0058813312503,7.36163431711706,177.508990757878,41.4224974134715,0.0400704259265882,3.92884280976769,Confirmed,1,0.000218,TIC_261136679_TESS_sector_29.fits
TIC\_261136679\_TESS\_sector\_1,40.8371790938864,42.7806063095842,7.88774160895891,159.724966350229,37.6335366104262,0.0888557016763308,8.51273298234922,Confirmed,1,0.000189,TIC_261136679_TESS_sector_1.fits
TIC\_261136679\_TESS\_sector\_48,23.3795588703353,25.1729995595305,11.763487211268,128.800174067129,21.2586588708294,0.104912787324465,9.97664063567136,Confirmed,1,3.9e-05,TIC_261136679_TESS_sector_48.fits
TIC\_261136679\_TESS\_sector\_37,49.6719170669334,51.7775198315573,7.59191762416523,174.898672091902,43.5442197330561,0.151106384628706,14.0723553469155,Confirmed,1,0.000614,TIC_261136679_TESS_sector_37.fits
TIC\_261136679\_TESS\_sector\_39,40.1636910225821,42.4333019468247,8.35278375241437,154.501041897192,35.062622109704,0.156599835731151,14.5484524714607,Confirmed,1,0.000135,TIC_261136679_TESS_sector_39.fits
TIC\_261136679\_TESS\_sector\_52,25.7742155917872,26.6986667501768,8.54867913209217,110.70023845064,22.4327110911339,0.160622830655064,14.895678400521,Confirmed,1,5.7e-05,TIC_261136679_TESS_sector_52.fits
TIC\_261136679\_TESS\_sector\_42,41.6316055764029,44.7555222919376,7.88045471543219,166.769422011338,36.0225553796138,0.168486582206436,15.5709392009525,Flagged,2,0.00017,TIC_261136679_TESS_sector_42.fits
KIC\_8462852\_Kepler\_quarter\_2,51.3738456389379,63.5964569295336,6.21016053315579,317.730476043367,44.4476553159393,0.168625210940898,15.5828024532822,Flagged,2,5.1e-05,KIC_8462852_Kepler_quarter_2.fits
Kepler\_Q1,51.3738456389379,63.5964569295336,6.21016053315579,317.730476043367,44.4476553159393,0.168625210940898,15.5828024532822,Flagged,2,4e-05,Kepler_Q1.fits
KIC\_8462852\_Kepler\_quarter\_8,13.8488924648943,14.1707730262541,3.83977275731902,51.2577532117174,11.9647581585794,0.170549929993302,15.7473664017518,Flagged,2,6.2e-05,KIC_8462852_Kepler_quarter_8.fits
Kepler\_Q7,13.8488924648943,14.1707730262541,3.83977275731902,51.2577532117174,11.9647581585794,0.170549929993302,15.7473664017518,Flagged,2,5.8e-05,Kepler_Q7.fits
TIC\_261136679\_TESS\_sector\_91,10.8374177260642,11.1463324677321,2.92356008538664,32.574632143021,9.12506528362398,0.206415684954226,18.7653719641136,Flagged,2,6.5e-05,TIC_261136679_TESS_sector_91.fits
TIC\_261136679\_TESS\_sector\_43,19.328321630001,22.057216249354,7.20570069242123,96.4317050219307,16.1488601638364,0.217603490415584,19.688457475684,Flagged,2,4.9e-05,TIC_261136679_TESS_sector_43.fits
TIC\_261136679\_TESS\_sector\_46,16.8286743311653,17.4399459538864,8.66422239335398,75.675206445506,13.8632008443209,0.238510843771318,21.390972547723,Flagged,2,4.3e-05,TIC_261136679_TESS_sector_46.fits
TIC\_261136679\_TESS\_sector\_53,30.2158682085672,31.9277138126671,8.85510549920352,133.145036612201,24.7299826542956,0.248360829942411,22.1831354714627,Flagged,2,7.4e-05,TIC_261136679_TESS_sector_53.fits
TIC\_261136679\_TESS\_sector\_26,37.3920668508901,39.2093906267586,7.6164324174683,150.762336554654,30.5011597406618,0.253478880576495,22.5922790110889,Flagged,2,0.000164,TIC_261136679_TESS_sector_26.fits
TIC\_261136679\_TESS\_sector\_63,31.0459122416563,60.4444912310503,5.91820331030044,182.149886804413,24.951817287994,0.276643685432004,24.4234513395327,Flagged,2,3.3e-05,TIC_261136679_TESS_sector_63.fits
