Filename,SourceType,Label,Label_Source,N_total,N_in,N_out,Depth_ppm,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty_pct,Suppression_pct,Tier,Transit_Expected,T_start_BTJD,T_end_BTJD
KIC_12557548.fits,TESS_fits,NaN,complex_excluded,1624,17,1607,6125.67826252619,8.68076078162285,6.88182281516063,2.14854343386709,18.2764172786756,5.50337202064546,0.78131717278571,57.7353075361372,36.6026531649612,Tier 2,0,131.511960268108,164.983128578853
KIC_12644769.fits,TESS_fits,0,literature_artifact,43361,287,43074,100821.702035951,1409.07853957393,1650.73673306938,86.9335684260065,117200.417287876,325.732321157692,26.8234388842671,332.587879079943,76.8833097652466,Tier 3,0,200.323940107293,230.299384955564
KIC_5812701.fits,TESS_fits,0,literature_artifact,43976,417,43559,8379.06703246605,412.878735306336,422.779508598397,25.0235289539372,8347.8469375192,191.0605109348,2.19307418566234,116.098414730626,53.7247877895571,Tier 3,0,291.417016855405,321.451558375506
KIC_8462852_Kepler_quarter_1.fits,TESS_fits,0,literature_artifact,469,5,464,275.682833603352,5.24675698012382,5.10885542469199,3.16863283057641,12.3102094715346,3.1450666828302,0.950820077487658,66.8249836725987,40.0569400346807,Tier 3,0,120.538289170006,130.244679868454
KIC_8462852_Kepler_quarter_10.fits,TESS_fits,0,literature_artifact,3106,43,3063,75521.5591128996,117.174465120178,174.717152440085,17.7456394315979,2093.78318426874,36.9734817186163,7.75083213762077,216.914879729004,68.445785794119,Tier 3,0,735.384105530582,802.344239499893
KIC_8462852_Kepler_quarter_11.fits,TESS_fits,0,literature_artifact,4610,13,4597,495.478359451851,11.9095700800361,12.2078616742836,4.01932268945834,39.3369965321693,7.54865099591224,0.781950229977667,57.7708399353125,36.6169312142847,Tier 2,0,808.535690758734,905.925980650805
KIC_8462852_Kepler_quarter_12.fits,TESS_fits,0,literature_artifact,4474,8,4466,569.908708375366,9.20145650479614,9.26615301022722,3.75121712229972,29.9332598285083,6.05405809677971,0.68182989791582,51.9882425589969,34.2054370020212,Tier 2,0,1001.22947051426,1098.32602317881
KIC_8462852_Kepler_quarter_13.fits,TESS_fits,0,literature_artifact,3550,111,3439,1063.20406079785,47.6417156208542,49.1374642428007,4.98357426013164,215.429633795026,32.8122440142785,0.571372320744018,45.1949327212199,31.1270730143152,Tier 2,0,1099.42939362171,1182.02107753305
KIC_8462852_Kepler_quarter_14.fits,TESS_fits,0,literature_artifact,4243,30,4213,2671.35652266448,33.0437061696897,30.2300484287862,6.21331600417382,199.349276110579,23.8545774411691,0.469929563295594,38.5214483517184,27.8090135571706,Tier 2,0,1182.75664828643,1273.05623224485
KIC_8462852_Kepler_quarter_15.fits,TESS_fits,0,literature_artifact,4269,7,4262,1032.44798408297,7.98034131864997,7.77363236954823,3.03223173492227,24.0707825061229,4.78588554926226,0.949307797579968,66.7474333956887,40.0290619390214,Tier 3,0,1274.15965508879,1371.32285839128
KIC_8462852_Kepler_quarter_16.fits,TESS_fits,0,literature_artifact,3534,71,3463,116240.934623964,147.229107819972,229.968097469283,17.503174399052,2572.51654548192,48.1350199749185,6.83553611664485,205.866929933109,67.3060438335491,Tier 3,0,1472.11777934497,1557.95849015693
KIC_8462852_Kepler_quarter_17.fits,TESS_fits,0,literature_artifact,4366,46,4320,1550.68984050322,23.6145438105895,25.9791448476668,3.63301365898513,82.2201031159558,14.9213818083635,0.790683967713652,58.2597651737152,36.8127458737006,Tier 2,0,1373.50920236678,1471.13701749434
KIC_8462852_Kepler_quarter_18.fits,TESS_fits,0,literature_artifact,1285,23,1262,49178.384846707,56.6623786374294,163.474518879453,11.719458019534,669.461584185232,21.7058444635186,4.00514530959328,161.046644523151,61.6926698358187,Tier 3,0,1559.24578881333,1591.0006323707
KIC_8462852_Kepler_quarter_2.fits,TESS_fits,0,literature_artifact,1624,69,1555,4753.20928979617,51.3738456389379,63.5964569295336,6.21016053315579,317.730476043367,44.4476553159393,0.168625210940898,15.5828024532822,13.4819385951302,Tier 2,0,131.511619380122,164.983297183047
KIC_8462852_Kepler_quarter_3.fits,TESS_fits,0,literature_artifact,4070,96,3974,1012.72330997204,41.7281810818878,46.9782378615541,4.74449956803539,177.711533881944,28.1623863019433,0.618822530367405,48.1699051866508,32.5099115950508,Tier 2,0,169.764927730372,258.468123489671
KIC_8462852_Kepler_quarter_4.fits,TESS_fits,0,literature_artifact,4134,94,4040,6010.66542673301,102.984902728945,122.00191698498,10.7484102105339,1093.91063532096,55.3857426983948,1.36177105735557,85.9411785624211,46.2195513800997,Tier 3,0,260.245829716674,349.49614399844
KIC_8462852_Kepler_quarter_5.fits,TESS_fits,0,literature_artifact,4108,48,4060,1610.77494812101,25.6385797916066,25.4686001489116,3.82832783138761,94.8778904771068,18.0819366288467,0.518785743779923,41.7911162828904,29.473719777699,Tier 2,0,352.397600164681,442.202272219714
KIC_8462852_Kepler_quarter_6.fits,TESS_fits,0,literature_artifact,4486,44,4442,751.177445301399,24.6337966609904,24.5498714173544,4.26199147922763,91.4799157375031,16.4514699502277,0.644376747481043,49.7361435514124,33.2158571549796,Tier 2,0,443.510031654361,538.16221368366
KIC_8462852_Kepler_quarter_7.fits,TESS_fits,0,literature_artifact,4272,43,4229,383.130574593715,16.6900387766954,16.8605029403842,3.41079160689964,42.4777303381109,10.7404164759728,0.740107818377619,55.3947075891551,35.6477440245983,Tier 2,0,539.469987791665,629.297080784105
KIC_8462852_Kepler_quarter_8.fits,TESS_fits,0,literature_artifact,4226,14,4212,956.29275353748,13.8488924648943,14.1707730262541,3.83977275731902,51.2577532117174,11.9647581585794,0.170549929993302,15.7473664017518,13.6049457463194,Tier 2,0,630.19616212196,719.548702014123
KIC_8462852_Kepler_quarter_9.fits,TESS_fits,0,literature_artifact,4442,45,4397,429.296190318396,18.1191349215623,17.8342988649125,3.51984403447711,48.9385924830307,12.1125363307346,0.641974243791651,49.5899325031238,33.1505815086107,Tier 2,0,906.865923994104,1000.26911906127
Kepler_1625.fits,TESS_fits,1,literature_confirmed,4108,6,4102,2472.71830267837,8.3058806602367,8.50035711657066,5.05694522586013,28.1640387367466,5.2758426305485,0.775927905100274,57.432304977095,36.480635270792,Tier 2,0,352.397002993661,442.202466127826
Kepler_Q1.fits,TESS_fits,NaN,unknown_excluded,1624,69,1555,4753.20928979617,51.3738456389379,63.5964569295336,6.21016053315579,317.730476043367,44.4476553159393,0.168625210940898,15.5828024532822,13.4819385951302,Tier 2,0,131.511619380122,164.983297183047
Kepler_Q10.fits,TESS_fits,NaN,unknown_excluded,4442,45,4397,429.296190318396,18.1191349215623,17.8342988649125,3.51984403447711,48.9385924830307,12.1125363307346,0.641974243791651,49.5899325031238,33.1505815086107,Tier 2,0,906.865923994104,1000.26911906127
Kepler_Q11.fits,TESS_fits,NaN,unknown_excluded,4474,8,4466,569.908708375366,9.20145650479614,9.26615301022722,3.75121712229972,29.9332598285083,6.05405809677971,0.68182989791582,51.9882425589969,34.2054370020212,Tier 2,0,1001.22947051426,1098.32602317881
Kepler_Q12.fits,TESS_fits,NaN,unknown_excluded,3550,111,3439,1063.20406079785,47.6417156208542,49.1374642428007,4.98357426013164,215.429633795026,32.8122440142785,0.571372320744018,45.1949327212199,31.1270730143152,Tier 2,0,1099.42939362171,1182.02107753305
Kepler_Q13.fits,TESS_fits,NaN,unknown_excluded,4243,30,4213,2671.35652266448,33.0437061696897,30.2300484287862,6.21331600417382,199.349276110579,23.8545774411691,0.469929563295594,38.5214483517184,27.8090135571706,Tier 2,0,1182.75664828643,1273.05623224485
Kepler_Q14.fits,TESS_fits,NaN,unknown_excluded,4269,7,4262,1032.44798408297,7.98034131864997,7.77363236954823,3.03223173492227,24.0707825061229,4.78588554926226,0.949307797579968,66.7474333956887,40.0290619390214,Tier 3,0,1274.15965508879,1371.32285839128
Kepler_Q15.fits,TESS_fits,NaN,unknown_excluded,4366,46,4320,1550.68984050322,23.6145438105895,25.9791448476668,3.63301365898513,82.2201031159558,14.9213818083635,0.790683967713652,58.2597651737152,36.8127458737006,Tier 2,0,1373.50920236678,1471.13701749434
Kepler_Q16.fits,TESS_fits,NaN,unknown_excluded,3534,71,3463,116240.934623964,147.229107819972,229.968097469283,17.503174399052,2572.51654548192,48.1350199749185,6.83553611664485,205.866929933109,67.3060438335491,Tier 3,0,1472.11777934497,1557.95849015693
